transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000529,card_00813,2026-01-10T23:30:52Z,entertainment,False,False,dev_002860,AE,14076
txn_0000530,card_00059,2026-01-22T18:24:18Z,entertainment,True,False,dev_000028,IN,3509
txn_0000531,card_00166,2026-01-11T21:44:24Z,online_retail,True,False,dev_000011,SG,31651
txn_0000532,card_00817,2026-01-25T12:48:20Z,atm_withdrawal,False,False,dev_001190,GB,18654
txn_0000533,card_00274,2026-01-15T05:24:37Z,entertainment,False,False,dev_003161,DE,4314
txn_0000534,card_00725,2026-01-15T10:57:48Z,electronics,False,False,dev_003026,IN,3157
txn_0000535,card_00015,2026-01-29T02:56:09Z,online_retail,True,False,dev_001937,DE,6650
txn_0000536,card_00068,2026-01-28T10:58:28Z,pharmacy,True,False,dev_001537,GB,10655
txn_0000537,card_00592,2026-01-26T12:29:21Z,online_retail,True,False,dev_003429,SG,323
txn_0000538,card_00164,2026-01-26T05:32:21Z,travel,False,False,dev_000234,DE,1529
txn_0000539,card_00774,2026-01-06T13:05:10Z,fuel,True,False,dev_002235,DE,3068
txn_0000540,card_00279,2026-01-13T03:52:10Z,entertainment,False,False,dev_001448,GB,4879
txn_0000541,card_00514,2026-01-18T17:04:57Z,restaurant,True,True,dev_001968,GB,47515
txn_0000542,card_00491,2026-01-16T07:01:54Z,electronics,True,False,dev_003008,US,6160
txn_0000543,card_00594,2026-01-12T12:44:19Z,electronics,False,False,dev_001001,DE,1668
txn_0000544,card_00409,2026-01-20T07:42:24Z,travel,False,False,dev_003313,AE,1587
txn_0000545,card_00453,2026-01-20T21:06:36Z,travel,False,False,dev_001078,DE,2050
txn_0000546,card_00079,2026-01-18T08:50:57Z,pharmacy,False,False,dev_003279,DE,26904
txn_0000547,card_00060,2026-01-20T16:31:47Z,electronics,True,False,dev_001891,GB,19595
txn_0000548,card_00734,2026-01-29T19:51:15Z,grocery,True,False,dev_001263,SG,20064
txn_0000549,card_00532,2026-01-03T12:59:12Z,atm_withdrawal,False,False,dev_001345,IN,12742
txn_0000550,card_00037,2026-01-17T15:34:38Z,restaurant,False,False,dev_002345,DE,10884
txn_0000551,card_00175,2026-01-25T07:59:45Z,online_retail,False,False,dev_004236,DE,11484
txn_0000552,card_00361,2026-01-02T03:35:20Z,restaurant,True,False,dev_001932,SG,918
txn_0000553,card_00675,2026-01-26T13:53:34Z,entertainment,True,False,dev_004700,SG,8157
txn_0000554,card_00896,2026-01-05T01:01:21Z,electronics,True,False,dev_000639,IN,11406
txn_0000555,card_00711,2026-01-08T15:44:28Z,grocery,True,False,dev_002049,AE,12296
txn_0000556,card_00239,2026-01-07T06:07:10Z,online_retail,False,False,dev_001784,US,3182
txn_0000557,card_00708,2026-01-18T13:05:47Z,entertainment,True,False,dev_004801,AE,1319
txn_0000558,card_00576,2026-01-21T03:22:57Z,entertainment,False,False,dev_001378,IN,8005
txn_0000559,card_00262,2026-01-02T15:53:35Z,utilities,False,False,dev_001530,AE,29680
txn_0000560,card_00366,2026-01-04T23:03:54Z,pharmacy,True,False,dev_000341,AE,13197
txn_0000561,card_00108,2026-01-25T08:52:32Z,travel,True,False,dev_003274,AE,3007
txn_0000562,card_00822,2026-01-18T05:29:22Z,fuel,True,False,dev_003385,AE,4959
txn_0000563,card_00440,2026-01-01T19:22:04Z,atm_withdrawal,False,False,dev_003853,AE,453
txn_0000564,card_00779,2026-01-22T22:57:15Z,utilities,True,False,dev_001462,IN,9841
txn_0000565,card_00213,2026-01-20T05:26:00Z,atm_withdrawal,False,False,dev_001629,SG,3006
txn_0000566,card_00541,2026-01-27T13:09:05Z,online_retail,True,False,dev_000336,AE,22203
txn_0000567,card_00618,2026-01-09T20:23:28Z,grocery,True,False,dev_000016,IN,2396
txn_0000568,card_00094,2026-01-23T14:33:36Z,atm_withdrawal,True,False,dev_002690,IN,5143
txn_0000569,card_00252,2026-01-24T03:06:17Z,electronics,True,True,dev_000480,AE,33273
txn_0000570,card_00749,2026-01-02T20:21:41Z,electronics,True,False,dev_003725,AE,11713
txn_0000571,card_00577,2026-01-18T04:25:05Z,online_retail,False,False,dev_001813,DE,11603
txn_0000572,card_00634,2026-01-25T09:30:35Z,utilities,True,False,dev_004647,IN,2654
txn_0000573,card_00810,2026-01-05T17:49:48Z,entertainment,True,False,dev_000698,GB,2097
txn_0000574,card_00348,2026-01-03T18:20:07Z,fuel,False,False,dev_004830,US,2738
txn_0000575,card_00034,2026-01-11T13:40:27Z,online_retail,True,False,dev_004321,DE,6824
txn_0000576,card_00009,2026-01-26T03:29:06Z,grocery,True,False,dev_002005,AE,36312
txn_0000577,card_00549,2026-01-27T14:11:07Z,online_retail,False,False,dev_002008,IN,16146
txn_0000578,card_00822,2026-01-21T08:09:45Z,atm_withdrawal,True,False,dev_004441,AE,15388
txn_0000579,card_00475,2026-01-22T17:17:05Z,travel,False,False,dev_004343,US,2880
txn_0000580,card_00587,2026-01-03T19:09:58Z,atm_withdrawal,True,False,dev_000162,IN,5124
txn_0000581,card_00297,2026-01-27T22:35:04Z,entertainment,True,False,dev_004471,IN,3626
txn_0000582,card_00433,2026-01-11T16:37:26Z,atm_withdrawal,True,False,dev_002181,DE,11265
txn_0000583,card_00287,2026-01-04T16:28:12Z,atm_withdrawal,True,False,dev_000069,AE,9549
txn_0000584,card_00120,2026-01-13T13:37:50Z,grocery,False,False,dev_003156,SG,8486
txn_0000585,card_00840,2026-01-20T18:04:58Z,grocery,True,False,dev_000319,AE,3734
txn_0000586,card_00249,2026-01-09T18:13:39Z,utilities,True,False,dev_003520,US,40005
txn_0000587,card_00562,2026-01-17T03:17:26Z,entertainment,True,False,dev_003202,DE,2747
txn_0000588,card_00818,2026-01-05T04:22:53Z,online_retail,True,False,dev_004121,DE,2145
txn_0000589,card_00335,2026-01-23T17:42:24Z,restaurant,False,False,dev_004395,IN,17798
txn_0000590,card_00303,2026-01-17T07:22:01Z,fuel,True,False,dev_003094,DE,16709
txn_0000591,card_00622,2026-01-15T17:12:33Z,pharmacy,False,False,dev_003291,DE,3078
txn_0000592,card_00730,2026-01-08T16:24:32Z,utilities,False,False,dev_002489,SG,1522
txn_0000593,card_00161,2026-01-27T16:32:13Z,entertainment,False,False,dev_004517,US,3734
txn_0000594,card_00669,2026-01-23T11:46:07Z,entertainment,True,False,dev_003957,GB,2812
txn_0000595,card_00673,2026-01-09T18:00:35Z,online_retail,True,False,dev_003330,US,2672
txn_0000596,card_00785,2026-01-24T19:23:32Z,pharmacy,True,False,dev_003283,US,11748
txn_0000597,card_00510,2026-01-04T15:33:18Z,fuel,True,False,dev_004550,AE,7852
txn_0000598,card_00065,2026-01-14T11:31:28Z,restaurant,True,False,dev_001431,IN,17480
txn_0000599,card_00588,2026-01-29T03:52:57Z,fuel,False,False,dev_002715,DE,8093
txn_0000600,card_00616,2026-01-24T14:25:00Z,restaurant,True,False,dev_000102,SG,26793
txn_0000601,card_00012,2026-01-18T02:18:10Z,grocery,False,False,dev_004687,DE,1076
txn_0000602,card_00788,2026-01-08T18:28:17Z,grocery,True,False,dev_004465,IN,11171
txn_0000603,card_00714,2026-01-25T00:54:38Z,online_retail,True,False,dev_001010,IN,7589
txn_0000604,card_00811,2026-01-27T12:15:55Z,travel,False,False,dev_003214,US,965
txn_0000605,card_00315,2026-01-13T12:02:35Z,pharmacy,False,False,dev_000977,IN,15404
txn_0000606,card_00441,2026-01-30T14:38:18Z,entertainment,False,True,dev_004674,IN,77758
txn_0000607,card_00893,2026-01-14T19:53:23Z,travel,True,False,dev_001550,DE,1649
txn_0000608,card_00118,2026-01-05T03:40:15Z,restaurant,False,False,dev_004489,AE,13746
txn_0000609,card_00034,2026-01-12T10:20:49Z,entertainment,True,False,dev_004092,US,3290
txn_0000610,card_00157,2026-01-21T16:52:48Z,online_retail,True,False,dev_001152,AE,13491
txn_0000611,card_00308,2026-01-10T19:04:29Z,electronics,True,False,dev_000293,IN,7970
txn_0000612,card_00487,2026-01-29T17:31:32Z,entertainment,True,False,dev_004017,GB,8992
txn_0000613,card_00471,2026-01-04T01:13:15Z,pharmacy,True,False,dev_002843,AE,6048
txn_0000614,card_00751,2026-01-18T19:11:30Z,fuel,True,False,dev_003646,DE,13347
txn_0000615,card_00113,2026-01-19T17:04:46Z,electronics,False,False,dev_002178,AE,7317
txn_0000616,card_00265,2026-01-04T07:37:23Z,atm_withdrawal,False,False,dev_001330,GB,40543
txn_0000617,card_00801,2026-01-10T18:36:46Z,fuel,False,False,dev_004500,SG,130
txn_0000618,card_00858,2026-01-21T16:09:55Z,utilities,True,False,dev_001457,SG,6635
txn_0000619,card_00647,2026-01-04T08:38:27Z,pharmacy,True,False,dev_001263,IN,4010
txn_0000620,card_00442,2026-01-02T13:56:42Z,grocery,True,False,dev_004250,AE,2154
txn_0000621,card_00614,2026-01-18T17:12:49Z,electronics,True,False,dev_000177,IN,7271
txn_0000622,card_00847,2026-01-15T04:42:17Z,pharmacy,True,False,dev_002927,IN,3988
txn_0000623,card_00759,2026-01-19T00:32:35Z,grocery,False,False,dev_003686,IN,4931
txn_0000624,card_00196,2026-01-23T07:23:29Z,pharmacy,False,False,dev_001335,GB,24745
